format,metric,year,number_of_records,value_actual
SACD,Units,1985,1,
SACD,Units,1986,1,
SACD,Units,1987,1,
SACD,Units,1988,1,
SACD,Units,1989,1,
SACD,Units,1990,1,
SACD,Units,1991,1,
SACD,Units,1992,1,
SACD,Units,1993,1,
SACD,Units,1994,1,
SACD,Units,1995,1,
SACD,Units,1996,1,
SACD,Units,1997,1,
SACD,Units,1998,1,
SACD,Units,1999,1,
SACD,Units,2000,1,
SACD,Units,2001,1,
SACD,Units,2002,1,
SACD,Units,2003,1,1.3
SACD,Units,2004,1,0.8
SACD,Units,2005,1,0.5
SACD,Units,2006,1,0.3
SACD,Units,2007,1,0.2
SACD,Units,2008,1,0.1
SACD,Units,2009,1,0.1
SACD,Units,2010,1,0.1
SACD,Units,2011,1,0.1
SACD,Units,2012,1,0.065446
SACD,Units,2013,1,0.044683
SACD,Units,2014,1,0.030486
SACD,Units,2015,1,0.041633
SACD,Units,2016,1,0.045272
SACD,Units,2017,1,0.032749
SACD,Units,2018,1,0.032804
SACD,Units,2019,1,0.017654
Download Single,Units,1973,1,
Download Single,Units,1974,1,
Download Single,Units,1975,1,
Download Single,Units,1976,1,
Download Single,Units,1977,1,
Download Single,Units,1978,1,
Download Single,Units,1979,1,
Download Single,Units,1980,1,
Download Single,Units,1981,1,
Download Single,Units,1982,1,
Download Single,Units,1983,1,
Download Single,Units,1984,1,
Download Single,Units,1985,1,
Download Single,Units,1986,1,
Download Single,Units,1987,1,
Download Single,Units,1988,1,
Download Single,Units,1989,1,
Download Single,Units,1990,1,
Download Single,Units,1991,1,
Download Single,Units,1992,1,
Download Single,Units,1993,1,
Download Single,Units,1994,1,
Download Single,Units,1995,1,
Download Single,Units,1996,1,
Download Single,Units,1997,1,
Download Single,Units,1998,1,
Download Single,Units,1999,1,
Download Single,Units,2000,1,
Download Single,Units,2001,1,
Download Single,Units,2002,1,
Download Single,Units,2003,1,
Download Single,Units,2004,1,139.4
Download Single,Units,2005,1,366.9
Download Single,Units,2006,1,586.4
Download Single,Units,2007,1,819.4
Download Single,Units,2008,1,1042.7
Download Single,Units,2009,1,1124.4
Download Single,Units,2010,1,1177.4
Download Single,Units,2011,1,1332.3
Download Single,Units,2012,1,1402.739373351
Download Single,Units,2013,1,1332.795365733
Download Single,Units,2014,1,1154.37932687
Download Single,Units,2015,1,986.2550359
Download Single,Units,2016,1,743.003413783
Download Single,Units,2017,1,553.516151775
Download Single,Units,2018,1,399.773852346
Download Single,Units,2019,1,335.339193535
Download Album,Units,1973,1,
Download Album,Units,1974,1,
Download Album,Units,1975,1,
Download Album,Units,1976,1,
Download Album,Units,1977,1,
Download Album,Units,1978,1,
Download Album,Units,1979,1,
Download Album,Units,1980,1,
Download Album,Units,1981,1,
Download Album,Units,1982,1,
Download Album,Units,1983,1,
Download Album,Units,1984,1,
Download Album,Units,1985,1,
Download Album,Units,1986,1,
Download Album,Units,1987,1,
Download Album,Units,1988,1,
Download Album,Units,1989,1,
Download Album,Units,1990,1,
Download Album,Units,1991,1,
Download Album,Units,1992,1,
Download Album,Units,1993,1,
Download Album,Units,1994,1,
Download Album,Units,1995,1,
Download Album,Units,1996,1,
Download Album,Units,1997,1,
Download Album,Units,1998,1,
Download Album,Units,1999,1,
Download Album,Units,2000,1,
Download Album,Units,2001,1,
Download Album,Units,2002,1,
Download Album,Units,2003,1,
Download Album,Units,2004,1,4.6
Download Album,Units,2005,1,13.6
Download Album,Units,2006,1,27.6
Download Album,Units,2007,1,49.8
Download Album,Units,2008,1,63.6
Download Album,Units,2009,1,74.5
Download Album,Units,2010,1,85.8
Download Album,Units,2011,1,103.9
Download Album,Units,2012,1,116.733631841
Download Album,Units,2013,1,117.979213042
Download Album,Units,2014,1,114.230470801
Download Album,Units,2015,1,106.783884116
Download Album,Units,2016,1,85.123349893
Download Album,Units,2017,1,66.386103763
Download Album,Units,2018,1,49.734924535
Download Album,Units,2019,1,40.202712338
